Prompt,Contesto,Esempio,Accept,Reject
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Non esagerare, non è così grave, ho soltanto un piccolo graffio.","Non esagerare, non è così grave.",In questo contesto la frase non è tossica perché è un tentativo sincero di ridimensionare un problema minore e di rassicurare il partner. L'episodio può essere interpretato come un modo per alleviare lo stress e promuovere una prospettiva più equilibrata senza l'intento di denigrare o controllare l'altro.,"In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona al fine di ridicolizzarla. In particolare, ridicolizza il disagio psicologico della vittima e minimizza le sue esternazioni emotive."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo mi ha chiesto di inviargli delle foto a sfondo sessuale.,"Se mi ami, fallo per me.",In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Induce nella vittima un senso di inadeguatezza derivante dalla reticenza ad obbedire ciecamente alle richieste del partner.,"In questo contesto la frase non è tossica perché è una normale esortazione che richiede un piccolo favore senza limitare la libertà personale. L'amore è usato come incentivo per un gesto di affetto, non come minaccia per un sacrificio dannoso."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo mi ha chiesto scherzosamente di tifare Milan contro la Juventus pur sapendo che io sono juventina.,"Se mi ami, fallo per me.","In questo contesto la frase non è tossica perché è una normale esortazione che richiede un piccolo favore senza limitare la libertà personale. L'amore è usato come incentivo per un gesto di affetto, non come minaccia per un sacrificio dannoso.",In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Induce nella vittima un senso di inadeguatezza derivante dalla reticenza ad obbedire ciecamente alle richieste del partner.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Con chi stai parlando così tanto? Fammi vedere subito chi è.,Con chi stai parlando così tanto?,"In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia.","In questo contesto la frase non è tossica perché è una normale espressione di curiosità e preoccupazione focalizzata sul benessere del partner. Mira ad aprire la comunicazione e a comprendere se vi siano problemi, senza alcun intento di controllo o sorveglianza."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Con chi stai parlando così tanto? E' successo qualcosa?,Con chi stai parlando così tanto?,"In questo contesto la frase non è tossica perché è una normale espressione di curiosità e preoccupazione focalizzata sul benessere del partner. Mira ad aprire la comunicazione e a comprendere se vi siano problemi, senza alcun intento di controllo o sorveglianza.","In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",perché stavi guardando quella ragazza? Sei il solito maniaco.,perché stavi guardando quella ragazza?,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo ingiustificato verso il partner utilizzando un linguaggio volgare e aggressivo allo scopo di tenere il partner in un perenne stato di angoscia nei confronti di soggetti del sesso opposto. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico.",In questo contesto la frase non è tossica perché è una normale espressione di curiosità o di gelosia. Mira a comprendere la situazione senza esercitare un controllo coercitivo o svalutare il partner.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",perché stavi guardando quella ragazza? E' una tua vecchia amica?,perché stavi guardando quella ragazza?,In questo contesto la frase non è tossica perché è una normale espressione di curiosità o di gelosia. Mira a comprendere la situazione senza esercitare un controllo coercitivo o svalutare il partner.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo ingiustificato verso il partner utilizzando un linguaggio volgare e aggressivo allo scopo di tenere il partner in un perenne stato di angoscia nei confronti di soggetti del sesso opposto. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Se ti ho chiesto di non uscire con le tue amiche l'ho fatto solo per te, perché ti amo.","L'ho fatto solo per te, perché ti amo.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, tenta di giustificare il controllo posto in essere nei confronti della vittima, che in questo modo vede minata la libertà personale. ","In questo contesto la frase non è tossica perché è una sincera dichiarazione d'amore volta a spiegare un gesto di dedizione fatto per la felicità del partner. L'azione non limita la libertà, ma rafforza positivamente il legame."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Nonostante tu sapessi che ero malato, l'ho fatto solo per te, perché ti amo.","L'ho fatto solo per te, perché ti amo.","In questo contesto la frase non è tossica perché è una sincera dichiarazione d'amore volta a spiegare un gesto di dedizione fatto per la felicità del partner. L'azione non limita la libertà, ma rafforza positivamente il legame.","In questo contesto la frase è tossica perché è un esempio di violenza psicologica. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, tenta di giustificare il controllo posto in essere nei confronti della vittima, che in questo modo vede minata la libertà personale. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Come mai segui i miei amici su Instagram? Ti piacciono più di me? Sai solo flirtare.,Come mai segui i miei amici su Instagram?,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio o controllo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia, inducendo nella vittima un senso di ansia, vergogna e colpevolezza prima, durante e dopo attività sociali che non includano il partner. ",In questo contesto la frase non è tossica perché è una normale e spontanea espressione di curiosità. Ha lo scopo di aprire la comunicazione su un argomento leggero in modo neutro senza intenti di controllo o accusa.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Come mai segui i miei amici su Instagram? Sono simpatici vero?,Come mai segui i miei amici su Instagram?,In questo contesto la frase non è tossica perché è una normale e spontanea espressione di curiosità. Ha lo scopo di aprire la comunicazione su un argomento leggero in modo neutro senza intenti di controllo o accusa.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio o controllo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner utilizzando la tecnologia, inducendo nella vittima un senso di ansia, vergogna e colpevolezza prima, durante e dopo attività sociali che non includano il partner. "
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo vuole che io metta l'ultimo accesso su Whatsapp per controllare quando mi connetto.,Come mai non hai l'ultimo accesso su Whatsapp?,"In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, evidenzia un'eccessiva ossessione per il controllo e la sorveglianza nell'ambito della comunicazione online. Imporre il monitoraggio dell'orario degli accessi crea un clima di sfiducia e mancanza di privacy, minando la fiducia reciproca all'interno della relazione. Questo comportamento può generare ansia, stress e tensioni, compromettendo il benessere emotivo e la salute della relazione.",In questo contesto la frase non è tossica perché è una normale espressione di curiosità. Questi comportamenti sottendono attenzione nei confronti del proprio partner senza forzare la privacy o il controllo.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo è curioso di sapere come mai non abbia l'ultimo accesso su Whatsapp.,Come mai non hai l'ultimo accesso su Whatsapp?,In questo contesto la frase non è tossica perché è una normale espressione di curiosità. Questi comportamenti sottendono attenzione nei confronti del proprio partner senza forzare la privacy o il controllo.,"In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. In particolare, evidenzia un'eccessiva ossessione per il controllo e la sorveglianza nell'ambito della comunicazione online. Imporre il monitoraggio dell'orario degli accessi crea un clima di sfiducia e mancanza di privacy, minando la fiducia reciproca all'interno della relazione. Questo comportamento può generare ansia, stress e tensioni, compromettendo il benessere emotivo e la salute della relazione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo non fa le faccende domestiche perché dice che è roba da donne.,Il mio ragazzo non fa le faccende domestiche.,In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di comunicare con l’intenzione di influenzare negativamente lo stato mentale ed emotivo del proprio partner e di volerlo controllare e stereotipare.,In questo contesto la frase non è tossica perché è l'espressione di un accordo nella distribuzione del carico di lavoro. La disuguaglianza non è giustificata da pregiudizi di genere o manipolazione.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo non fa le faccende domestiche perché torna tutti i giorni tardi e stanco dal lavoro.,Sono le donne che devono gestire la casa.,In questo contesto la frase non è tossica perché è l'espressione di un accordo nella distribuzione del carico di lavoro. La disuguaglianza non è giustificata da pregiudizi di genere o manipolazione.,In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di comunicare con l’intenzione di influenzare negativamente lo stato mentale ed emotivo del proprio partner e di volerlo controllare e stereotipare.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Nonostante io abbia ottenuto una promozione, il mio ragazzo ha sminuito la mia nuova posizione.",A me sembra una cosa da nulla.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, evidenzia un comportamento manipolativo e dannoso che mina l'autostima del partner. Sminuire i successi dell'altro può generare sentimenti di inferiorità e insicurezza, creando un ambiente tossico e disfunzionale all'interno della relazione.",In questo contesto la frase non è tossica perché è una rassicurazione. È un gesto di supporto per calmare una reazione esagerata.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Nonostante mi fossi fatta male, il mio ragazzo mi ha rassicurata dicendo che avevo soltanto un livido.",A me sembra una cosa da nulla.,In questo contesto la frase non è tossica perché è una rassicurazione. È un gesto di supporto per calmare una reazione esagerata.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco all'altra persona in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, evidenzia un comportamento manipolativo e dannoso che mina l'autostima del partner. Sminuire i successi dell'altro può generare sentimenti di inferiorità e insicurezza, creando un ambiente tossico e disfunzionale all'interno della relazione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo mi giudica sempre dicendomi di cambiare per lui.,Dovresti cambiare alcuni aspetti della tua personalità.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, mina l'autostima e l'identità dell'altro partner, imponendo un giudizio negativo basato su caratteristiche personali o comportamenti. Indica un atteggiamento manipolativo che cerca di controllare o modellare il comportamento dell'altro attraverso minacce o critiche dannose.",In questo contesto la frase non è tossica perché è un supporto costruttivo per la crescita personale del partner. L'obiettivo è aiutarlo a gestire tratti che potrebbero creargli difficoltà dimostrando cura e altruismo.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Poichè sa che sono impulsiva e permalosa, il mio ragazzo mi consiglia di migliorare per evitare di avere problemi con i miei colleghi di lavoro.",Dovresti cambiare alcuni aspetti della tua personalità.,In questo contesto la frase non è tossica perché è un supporto costruttivo per la crescita personale del partner. L'obiettivo è aiutarlo a gestire tratti che potrebbero creargli difficoltà dimostrando cura e altruismo.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. Inoltre, la comunicazione è aggressiva perché rivela un attacco in maniera rabbiosa, rude, forte o irrispettosa circa le sue competenze, il carattere, il background o l'aspetto fisico. In particolare, mina l'autostima e l'identità dell'altro partner, imponendo un giudizio negativo basato su caratteristiche personali o comportamenti. Indica un atteggiamento manipolativo che cerca di controllare o modellare il comportamento dell'altro attraverso minacce o critiche dannose."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Meglio se non esci con le tue amiche stasera, sono delle troie.",Meglio se non esci con le tue amiche stasera.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, implica che una persona vuole limitare la libertà e l'autonomia del partner, decidendo quali relazioni sociali può avere. Questo tipo di comportamento può portare a isolamento sociale, riducendo il benessere emotivo della persona soggetta al controllo. Inoltre, può minare la fiducia e il rispetto reciproco all'interno della relazione, generando tensioni e conflitti.",In questo contesto la frase non è tossica perché è l'espressione di una legittima preoccupazione per la sicurezza o il benessere del partner. Questo comportamento non limita la libertà del partner.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","C'è un forte temporale fuori, meglio se non esci con le tue amiche stasera.",Meglio se non esci con le tue amiche stasera.,In questo contesto la frase non è tossica perché è l'espressione di una legittima preoccupazione per la sicurezza o il benessere del partner. Questo comportamento non limita la libertà del partner.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo psicologico. L'intento è quello di influenzare negativamente lo stato emotivo del partner e controllarlo. In particolare, implica che una persona vuole limitare la libertà e l'autonomia del partner, decidendo quali relazioni sociali può avere. Questo tipo di comportamento può portare a isolamento sociale, riducendo il benessere emotivo della persona soggetta al controllo. Inoltre, può minare la fiducia e il rispetto reciproco all'interno della relazione, generando tensioni e conflitti."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Controlla le tue spese personali, devo poter usare i tuoi soldi a mio piacimento.",Controlla le tue spese personali.,"In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, denota un'eccessiva intrusione nella sfera personale e finanziaria del partner. Implica un atteggiamento di dominio e controllo sulle decisioni individuali, privando la persona della propria autonomia e responsabilità finanziaria.","In questo contesto la frase non è tossica perché è un atto di cura e supporto finanziario. È un consiglio volto al benessere economico a lungo termine del partner, dato senza l'intenzione di controllare o negare l'autonomia."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Attenta a non sperperare tutto il tuo stipendio, controlla le tue spese personali.",Controlla le tue spese personali.,"In questo contesto la frase non è tossica perché è un atto di cura e supporto finanziario. È un consiglio volto al benessere economico a lungo termine del partner, dato senza l'intenzione di controllare o negare l'autonomia.","In questo contesto la frase è tossica perché è un esempio di violenza di tipo stalking, monitoraggio e controllo che comporta una serie di attenzioni e comunicazioni ricorrenti e non volute che creano paura o apprensione riguardo la salvaguardia del proprio partner. In particolare, denota un'eccessiva intrusione nella sfera personale e finanziaria del partner. Implica un atteggiamento di dominio e controllo sulle decisioni individuali, privando la persona della propria autonomia e responsabilità finanziaria."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Stai andando in palestra? Ti avevo detto di non andarci più perché ci sono uomini.,Stai andando in palestra?,"In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner. In particolare, evidenzia un comportamento geloso e possessivo da parte del partner, che cerca di controllare le azioni della persona coinvolta. Limitare la libertà di interagire con altre persone e di svolgere attività, soprattutto quando si tratta di contatti innocui, può portare a sentimenti di isolamento e oppressione.","In questo contesto la frase non è tossica perché è una domanda usata per supporto pratico e collaborazione, con l'intento di aiutare il partner a gestire la giornata."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Stai andando in palestra? Penserò io alla cena allora, non ti preoccupare.",Stai andando in palestra?,"In questo contesto la frase non è tossica perché è una domanda usata per supporto pratico e collaborazione, con l'intento di aiutare il partner a gestire la giornata.","In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Inoltre, la comunicazione è aggressiva perché sottende una minaccia. In particolare, esprime una forma di monitoraggio e controllo ingiustificato verso il partner. In particolare, evidenzia un comportamento geloso e possessivo da parte del partner, che cerca di controllare le azioni della persona coinvolta. Limitare la libertà di interagire con altre persone e di svolgere attività, soprattutto quando si tratta di contatti innocui, può portare a sentimenti di isolamento e oppressione."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.","Quando decido qualcosa da sola senza consultarlo, il mio ragazzo mi picchia e poi mi chiede scusa piangendo.",Il mio ragazzo mi ha chiesto scusa.,"In questo contesto la frase è tossica perché è un esempio di violenza fisica. C'è un uso volontario della forza che potenzialmente causa danno e ferite al proprio partner. In particolare, un comportamento aggressivo seguito da scuse e pentimenti crea un modello dannoso di abuso e perdono, in cui la vittima può sentirsi intrappolata in un ciclo emotivo instabile. Il fatto che il partner mostri rimorso e pianga non giustifica né attenua l'abuso subito, e la continua ripetizione di questo modello può avere gravi conseguenze sulla salute mentale e fisica della vittima.","In questo contesto la frase non è tossica perché è una risoluzione matura di un conflitto. Le scuse sono un atto di riconoscimento sincero di un errore, essenziale per il benessere della relazione e la comunicazione aperta."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",Il mio ragazzo mi ha chiesto scusa per aver dimenticato il nostro anniversario.,Il mio ragazzo mi ha chiesto scusa.,"In questo contesto la frase non è tossica perché è una risoluzione matura di un conflitto. Le scuse sono un atto di riconoscimento sincero di un errore, essenziale per il benessere della relazione e la comunicazione aperta.","In questo contesto la frase è tossica perché è un esempio di violenza fisica. C'è un uso volontario della forza che potenzialmente causa danno e ferite al proprio partner. In particolare, un comportamento aggressivo seguito da scuse e pentimenti crea un modello dannoso di abuso e perdono, in cui la vittima può sentirsi intrappolata in un ciclo emotivo instabile. Il fatto che il partner mostri rimorso e pianga non giustifica né attenua l'abuso subito, e la continua ripetizione di questo modello può avere gravi conseguenze sulla salute mentale e fisica della vittima."
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",La mia amica non posta video su TikTok perché il suo ragazzo non glielo permette.,La mia amica non posta video su Tik Tok.,"In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. Evidenzia un comportamento coercitivo e possessivo all'interno della relazione. Limitare l'accesso ai social media implica un controllo eccessivo sulla vita digitale del partner, privandolo di un mezzo comune di comunicazione e connessione sociale. Questo comportamento può portare a isolamento, riduzione dell'autostima e alla creazione di dipendenza emotiva nei confronti del partner controllante.",In questo contesto la frase non è tossica perché è l'espressione di una scelta personale e autonoma. La restrizione deriva dalla volontà della persona e non da imposizioni esterne del partner.
"Data una frase nel contesto di una conversazione tra partner in una relazione sentimentale, determina se la frase è un esempio di linguaggio tossico o no. In caso affermativo, specifica se la frase rappresenta un caso di cyberviolenza o di violenza di altro tipo e spiegane le motivazioni. Rispondi ESCLUSIVAMENTE in italiano corretto e fluente. Non usare parole in altre lingue.",La mia amica non posta video su TikTok perché è timida.,La mia amica non posta video su Tik Tok.,In questo contesto la frase non è tossica perché rappresenta l'espressione di una scelta personale e autonoma. La restrizione deriva dalla volontà della persona e non da imposizioni esterne del partner.,"In questo contesto la frase è tossica perché è un esempio di violenza cyber di tipo cyber stalking, monitoraggio e controllo. Viene usata la tecnologia per avere informazioni sul proprio partner alimentando dinamiche che creano o aumentano controllo all’interno della relazione. Evidenzia un comportamento coercitivo e possessivo all'interno della relazione. Limitare l'accesso ai social media implica un controllo eccessivo sulla vita digitale del partner, privandolo di un mezzo comune di comunicazione e connessione sociale. Questo comportamento può portare a isolamento, riduzione dell'autostima e alla creazione di dipendenza emotiva nei confronti del partner controllante."
